theater_code,theater_name,theater_city_state,city,state_abbr,demographics_status,population,median_household_income,median_age,pct_white_alone,pct_black_alone,pct_asian_alone,pct_hispanic_latino,pct_bachelors_degree,pct_below_poverty,matched_place_name,source
AMC,"AMC Metreon 16 with IMAX, Dolby","San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
APPL,Apple Cinemas Van Ness IMAX,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
AMC,AMC Kabuki 8,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
LAND,Opera Plaza 4,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
ESP,Presidio Theatre,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
PFR,Vogue,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
ESP,Marina Theatre,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
PFR,Balboa 2,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
RXSF,Roxie,"San Francisco, CA",San Francisco,CA,matched,836321,141446,39.7,40.49,5.09,34.97,15.93,35.07,10.58,"San Francisco city, California",US Census ACS5 2023
CNMK,Century Tanforan 20 + XD,"San Bruno, CA",San Bruno,CA,matched,42612,135976,39.8,34.76,1.29,32.06,29.87,29.87,5.14,"San Bruno city, California",US Census ACS5 2023
LAND,Aquarius 2,"Palo Alto, CA",Palo Alto,CA,matched,67231,220408,42.5,48.4,2.17,36.09,7.1,27.15,5.4,"Palo Alto city, California",US Census ACS5 2023
CNMK,San Mateo 12,"San Mateo, CA",San Mateo,CA,matched,103555,152669,38,41.24,1.49,27.06,26.77,31.38,7.94,"San Mateo city, California",US Census ACS5 2023
CNPL,Cinepolis San Mateo,"San Mateo, CA",San Mateo,CA,matched,103555,152669,38,41.24,1.49,27.06,26.77,31.38,7.94,"San Mateo city, California",US Census ACS5 2023
CNMK,Mountain View Cinema 16,"Mountain View, CA",Mountain View,CA,matched,2072,84818,47.1,69.5,4.83,10.62,16.55,27.49,7.29,"Mountain View CDP, California",US Census ACS5 2023
AMC,"AMC Saratoga 14 with IMAX, Dolby","San Jose, CA",San Jose,CA,matched,990054,141565,38.1,29.01,2.91,38.58,30.95,26.24,7.85,"San Jose city, California",US Census ACS5 2023
TMKO,Pruneyard Cinemas,"Campbell, CA",Campbell,CA,matched,42848,147128,39.2,52.48,1.43,25.32,18.94,35.13,5.29,"Campbell city, California",US Census ACS5 2023
INDLF,The Tech IMAX Dome,"San Jose, CA",San Jose,CA,matched,990054,141565,38.1,29.01,2.91,38.58,30.95,26.24,7.85,"San Jose city, California",US Census ACS5 2023
WWDI,Capitol 6 DI,"San Jose, CA",San Jose,CA,matched,990054,141565,38.1,29.01,2.91,38.58,30.95,26.24,7.85,"San Jose city, California",US Census ACS5 2023
CNMK,Milpitas Great Mall 20 + XD,"Milpitas, CA",Milpitas,CA,matched,78216,176822,36.4,11.61,2.05,71.95,13.35,32.73,5.43,"Milpitas city, California",US Census ACS5 2023
CNMK,San Jose Santana Row 6,"San Jose, CA",San Jose,CA,matched,990054,141565,38.1,29.01,2.91,38.58,30.95,26.24,7.85,"San Jose city, California",US Census ACS5 2023
CLG,Cine Lounge Fremont 7,"Fremont, CA",Fremont,CA,matched,228518,176350,38.8,19.45,2.85,62.47,12.93,32.52,5.08,"Fremont city, California",US Census ACS5 2023
CNMK,Century at Hayward,"Hayward, CA",Hayward,CA,matched,159201,113775,38.2,19.58,9.04,29.63,40.9,23.18,9.46,"Hayward city, California",US Census ACS5 2023
CNMK,Century at Pacific Commons + XD,"Fremont, CA",Fremont,CA,matched,228518,176350,38.8,19.45,2.85,62.47,12.93,32.52,5.08,"Fremont city, California",US Census ACS5 2023
TSU,Chabot,"Castro Valley, CA",Castro Valley,CA,matched,65389,138069,42.8,38.3,8.73,34.11,17.64,26.87,7.47,"Castro Valley CDP, California",US Census ACS5 2023
REG,Regal Jack London,"Oakland, CA",Oakland,CA,matched,438072,97369,37.6,30.51,21.09,15.54,28.88,26.51,13.68,"Oakland city, California",US Census ACS5 2023
LAND,Piedmont 3,"Piedmont, CA",Piedmont,CA,matched,11012,250001,43.5,67.89,0.73,22.56,4.14,34.89,3.81,"Piedmont city, California",US Census ACS5 2023
CNMK,San Leandro Bayfair 16,"San Leandro, CA",San Leandro,CA,matched,88531,98063,41.5,25.32,9.92,35.08,28.76,23.28,8.64,"San Leandro city, California",US Census ACS5 2023
TMKO,Grand Lake 4,"Oakland, CA",Oakland,CA,matched,438072,97369,37.6,30.51,21.09,15.54,28.88,26.51,13.68,"Oakland city, California",US Census ACS5 2023
CNMK,Richmond Hilltop 16,"Richmond, CA",Richmond,CA,matched,115396,90038,37.6,21.4,17.35,13.12,46.94,20.15,13.65,"Richmond city, California",US Census ACS5 2023
AMC,"AMC NewPark 12 with IMAX, Dolby","Newark, CA",Newark,CA,matched,47145,164909,37.3,23.43,3.66,43.09,28.63,24.67,4.19,"Newark city, California",US Census ACS5 2023
CNMK,Century Southland Mall,"Hayward, CA",Hayward,CA,matched,159201,113775,38.2,19.58,9.04,29.63,40.9,23.18,9.46,"Hayward city, California",US Census ACS5 2023
WWDI,Solano Twin DI,"Concord, CA",Concord,CA,matched,124260,109195,38.6,48.11,3.85,13.45,32.29,26.1,8.88,"Concord city, California",US Census ACS5 2023
